i15,e01,c2,p35,l3,4378
i41,e01,c1,p09,l3,1723
i38,e07,c1,p29,l2,1
i39,e04,c5,p07,l3,1743
i14,e08,c5,p08,l3,1738
i17,e04,c5,p02,l3,1740
i16,e08,c5,p24,l3,1738
i29,e09,c5,p10,l3,1722
i13,e11,c5,p10,l3,1737
i17,e09,c5,p06,l3,1729
i14,e08,c5,p31,l3,1722
i03,e04,c5,p09,l3,1721
i38,e05,c4,p35,l1,1
i38,e07,c1,p13,l2,3
i34,e08,c5,p25,l3,1722
i38,e10,c1,p20,l2,2
i46,e08,c1,p21,l3,1722
i34,e09,c5,p17,l3,1723
i41,e08,c1,p04,l3,1726
i41,e04,c1,p15,l3,1723
i03,e08,c5,p09,l3,1721
i38,e10,c7,p07,l4,3442
i41,e01,c1,p22,l3,1727
i46,e08,c1,p15,l3,1723
i38,e04,c1,p25,l1,2
i17,e01,c5,p22,l3,1723
i22,e05,c5,p13,l3,1723
i38,e10,c1,unknown,l4,1721
i03,e04,c5,p01,l3,1722
i06,e08,c3,p18,l2,1721
i39,e09,c5,p12,l3,1723
i07,e11,c5,p07,l3,1720
i38,e10,c4,p19,l1,4
i03,e01,c5,p05,l3,1721
i47,e09,c4,p35,l3,1721
i66,e04,c3,p25,l3,1723
i27,e01,c5,p13,l3,1722
i17,e01,c5,p26,l3,1720
i14,e11,c5,p10,l3,1720
i06,e02,c5,p09,l1,2
i06,e05,c5,p17,l1,1
i22,e05,c5,p29,l3,1720
i36,e05,c5,p35,l3,1720
i27,e05,c5,p35,l3,1720
i32,e11,c5,p16,l3,1720
i20,e04,c5,p12,l3,1720
i16,e01,c5,p05,l3,1720
i27,e09,c5,p12,l3,1720
i06,e10,c5,p24,l3,30926
i38,e10,c1,p29,l3,7645
i38,e10,c1,p10,l4,15635
i06,e10,c5,p03,l4,4626
i06,e10,c5,p04,l4,3225
i02,e09,c1,p03,l3,1953
i06,e10,c5,p19,l1,211
i38,e06,c1,p24,l3,1960
i38,e10,c4,p07,l3,1818
i06,e10,c5,p03,l2,97
i38,e10,c1,p03,l1,29
i06,e09,c5,p13,l2,63
i16,e04,c5,p24,l3,1730
i02,e01,c1,p22,l3,1734
i06,e10,c3,p08,l3,1762
i38,e10,c4,p06,l4,1770
i06,e10,c3,p14,l3,1800
i07,e04,c5,p32,l3,1722
i06,e09,c5,p28,l2,33
i30,e09,c1,p15,l3,1730
i38,e10,c7,p20,l3,3441
i38,e10,c1,p28,l2,10
i02,e08,c1,p20,l3,1724
i34,e01,c5,p32,l3,1735
i38,e06,c1,p08,l3,1806
i39,e04,c5,p29,l3,1726
i06,e01,c5,p11,l3,1819
i01,e01,c1,p19,l3,1725
i21,e03,c1,p21,l3,1722
i13,e11,c5,p19,l3,1740
i05,e06,c1,p06,l3,1721
i39,e04,c5,p12,l3,1744
i14,e08,c3,p33,l3,1720
i38,e06,c1,p33,l3,1734
i05,e12,c1,p14,l3,1732
i34,e09,c5,p12,l3,1722
i48,e08,c1,p35,l3,1726
i39,e04,c5,p18,l3,3464
i24,e08,c1,p19,l3,1725
i34,e04,c5,p23,l3,1737
i17,e04,c3,p19,l3,1728
i17,e01,c5,p21,l3,1737
i38,e05,c1,p35,l1,7
i21,e04,c1,p03,l3,1720
i38,e10,c1,p26,l1,3
i43,e01,c1,p17,l3,1724
i05,e08,c1,p06,l3,1724
i38,e09,c1,p20,l2,9
i06,e11,c5,p31,l2,1741
i05,e01,c1,p26,l3,1725
i16,e04,c5,p12,l3,1729
i30,e09,c1,p23,l3,1722
i38,e10,c4,p25,l2,3
i67,e10,c5,p24,l3,1723
i13,e11,c5,p04,l3,1723
i38,e10,c7,p32,l4,3448
i17,e09,c5,p17,l3,1729
i41,e05,c1,p04,l3,1720
i01,e01,c1,p21,l3,1720
i111,e04,c1,p07,l3,1721
i23,e04,c5,p16,l3,1723
i39,e09,c5,p28,l3,1724
i46,e01,c4,p28,l3,1720
i17,e04,c5,p33,l3,1721
i06,e05,c3,p15,l1,2
i16,e09,c5,p30,l3,1720
i06,e02,c3,p10,l1,1
i17,e09,c5,p24,l3,1725
i14,e05,c5,p17,l3,1720
i66,e04,c3,p10,l3,1720
i46,e01,c1,p24,l3,1720
i46,e01,c1,p05,l3,1720
i43,e03,c1,p11,l3,1720
i14,e09,c5,p10,l3,1721
i06,e04,c3,p01,l1,1
i38,e10,c4,p29,l4,1722
i21,e03,c1,p22,l3,1720
i07,e01,c5,p32,l3,1720
i14,e08,c3,p28,l3,1720
i42,e02,c5,p12,l3,1720
i41,e08,c1,p11,l3,1720
i42,e05,c5,p32,l3,1720
i38,e10,c1,p14,l3,10060
i38,e10,c1,p06,l3,6162
i07,e11,c5,p35,l3,1846
i41,e09,c1,p21,l3,1730
i06,e10,c5,p35,l1,48
i06,e09,c5,p15,l2,122
i06,e01,c5,p17,l3,1826
i06,e10,c5,p13,l1,80
i02,e08,c1,p10,l3,3596
i06,e04,c5,p12,l1,137
i34,e03,c5,p02,l3,1739
i38,e09,c1,p04,l2,31
i16,e01,c5,p19,l3,1731
i06,e11,c5,p25,l2,1761
i38,e01,c1,p29,l3,1742
i06,e10,c3,p13,l3,1838
i06,e05,c5,p03,l1,3
i01,e01,c1,p01,l3,1720
i17,e08,c5,p01,l3,1788
i34,e03,c5,p32,l3,1744
i17,e04,c5,p22,l3,1740
i06,e01,c5,p08,l3,1742
i19,e04,c5,p10,l3,1733
i06,e04,c5,p08,l1,55
i17,e09,c5,p29,l3,1723
i06,e09,c5,p31,l2,8
i39,e09,c5,p02,l3,1736
i38,e12,c1,p22,l3,1798
i34,e09,c5,p03,l3,1730
i13,e08,c5,p05,l3,1728
i05,e08,c1,p01,l3,1735
i17,e08,c5,p08,l3,1725
i14,e04,c5,p04,l3,1745
i38,e10,c4,p09,l4,1733
i17,e04,c5,p13,l3,1745
i38,e12,c1,p14,l3,1720
i30,e01,c1,p13,l3,1723
i66,e04,c3,p35,l3,1729
i100,e08,c5,p10,l3,1722
i21,e12,c1,p15,l3,1720
i16,e08,c5,p31,l3,1722
i23,e03,c5,p04,l3,1720
i38,e07,c1,p01,l2,2
i74,e08,c5,p15,l3,1722
i22,e05,c5,p19,l3,1723
i23,e03,c5,p35,l3,1720
i41,e09,c1,p01,l3,1721
i23,e01,c5,p17,l3,1721
i05,e08,c1,p21,l3,1720
i12,e04,c5,p18,l3,3441
i34,e08,c5,p06,l3,1722
i23,e04,c5,p01,l3,1722
i13,e03,c5,p12,l3,1720
i64,e11,c3,p35,l3,1721
i05,e08,c1,p23,l3,1722
i33,e03,c1,p24,l3,1721
i05,e12,c4,p10,l3,1720
i38,e01,c1,unknown,l3,1720
i06,e11,c3,p18,l2,3441
i39,e04,c3,p10,l3,1721
i30,e04,c1,p28,l3,1720
i39,e01,c5,p28,l3,1722
i05,e03,c1,p24,l3,1720
i81,e01,c5,p22,l3,1720
i13,e10,c5,p05,l3,1720
i16,e09,c5,p15,l3,1720
i06,e10,c5,p03,l3,47447
i06,e10,c5,p35,l3,25490
i38,e10,c1,p08,l4,2307
i46,e11,c1,p35,l3,5544
i06,e10,c5,p24,l1,31
i06,e11,c5,p02,l2,1818
i38,e04,c1,p15,l1,61
i06,e11,c5,p17,l2,1923
i38,e04,c1,p13,l1,313
i22,e05,c5,p35,l3,1755
i05,e03,c1,p35,l3,1742
i06,e10,c5,p10,l1,361
i38,e09,c1,p17,l2,77
i14,e08,c5,p15,l3,1803
i02,e01,c1,p17,l3,1813
i06,e08,c5,p31,l2,213
i38,e10,c1,p14,l2,85
i23,e10,c5,p10,l3,1735
i38,e11,c1,p21,l2,1959
i06,e12,c5,p11,l3,2043
i02,e08,c1,p35,l3,1841
i38,e11,c1,p02,l2,1853
i06,e10,c5,p18,l2,1785
i38,e10,c1,unknown,l3,1781
i39,e09,c5,p07,l3,1722
i38,e11,c1,p08,l2,1775
i14,e01,c5,p14,l3,1740
i05,e01,c1,p13,l3,1720
i17,e04,c5,p32,l3,1738
i46,e08,c1,p32,l3,1724
i17,e01,c5,p06,l3,1724
i38,e10,c1,p17,l1,24
i38,e10,c7,p10,l3,3473
i12,e04,c5,p16,l3,1725
i41,e04,c1,p11,l3,1725
i17,e08,c5,p23,l3,1742
i14,e04,c5,p02,l3,1723
i38,e06,c1,unknown,l3,1733
i03,e01,c5,p12,l3,1720
i17,e09,c5,p10,l3,1752
i17,e11,c5,p15,l3,1745
i17,e04,c5,p17,l3,1761
i29,e01,c5,p10,l3,1731
i17,e01,c5,p17,l3,1724
i41,e01,c1,p07,l3,1721
i43,e09,c1,p19,l3,1726
i83,e04,c3,p03,l3,1723
i06,e05,c5,p13,l1,3
i17,e11,c5,p25,l3,1745
i22,e05,c5,p01,l3,1721
i30,e04,c1,p10,l3,1731
i34,e09,c5,p21,l3,1732
i03,e08,c5,p16,l3,1728
i06,e10,c3,p08,l4,1725
i23,e09,c5,p15,l3,1722
i39,e04,c5,p03,l3,1727
i43,e09,c1,p29,l3,1721
i41,e08,c1,p10,l3,1734
i34,e04,c5,p04,l3,1737
i42,e02,c5,p23,l3,1720
i06,e08,c5,p30,l2,5
i17,e11,c5,p02,l3,1726
i38,e04,c4,p12,l1,1
i06,e07,c5,p28,l2,2
i23,e08,c5,p17,l3,1720
i41,e05,c1,p11,l3,1721
i111,e08,c1,p01,l3,1720
i48,e08,c1,p03,l3,1722
i16,e11,c5,p14,l3,1720
i05,e12,c1,p09,l3,1720
i05,e04,c1,p13,l3,1728
i03,e10,c5,p19,l3,1721
i03,e09,c5,p19,l3,1726
i03,e04,c5,p12,l3,1720
i42,e05,c5,p17,l3,1721
i34,e09,c5,p02,l3,1723
i21,e12,c1,p17,l3,1720
i13,e11,c5,p01,l3,1720
i06,e09,c3,p05,l2,1
i13,e05,c5,p05,l3,1720
i38,e12,c4,p19,l3,1720
i03,e09,c5,p12,l3,1721
i06,e07,c5,p21,l2,2
i23,e04,c5,p15,l3,1720
i09,e01,c5,p18,l3,3439
i06,e04,c3,p23,l1,2
i34,e09,c5,p09,l3,1720
i27,e01,c5,p07,l3,1720
i13,e05,c5,p10,l3,1720
i05,e09,c1,p28,l3,1720
i14,e11,c5,p11,l3,1720
i19,e01,c5,p10,l3,1720
i38,e10,c1,p06,l4,2488
i06,e10,c5,p10,l4,12080
i38,e10,c1,p04,l3,8300
i06,e10,c5,p11,l1,78
i38,e01,c1,p19,l3,1935
i38,e10,c4,p11,l4,1840
i38,e10,c1,p12,l2,68
i02,e01,c1,p01,l3,1830
i02,e08,c1,p14,l3,2282
i06,e10,c5,p02,l1,38
i38,e10,c1,p02,l1,11
i06,e10,c5,p16,l2,60
i38,e06,c1,p32,l3,1753
i39,e04,c5,p16,l3,1730
i07,e12,c5,p35,l3,1861
i02,e04,c1,p14,l3,1834
i06,e11,c5,p08,l2,1812
i02,e09,c1,p18,l3,3475
i38,e09,c1,p11,l2,51
i38,e08,c1,p22,l2,82
i38,e08,c1,p15,l2,209
i39,e01,c5,p19,l3,1735
i38,e10,c7,p15,l2,1723
i23,e03,c5,p19,l3,1724
i38,e04,c1,p01,l1,65
i42,e05,c3,p22,l3,1751
i23,e08,c5,p29,l3,1728
i34,e03,c5,p01,l3,1778
i23,e01,c5,p10,l3,1725
i41,e07,c1,p35,l3,1735
i38,e04,c1,p20,l1,6
i34,e09,c5,p11,l3,1743
i41,e08,c1,p19,l3,1738
i17,e04,c5,p21,l3,1781
i21,e01,c1,p19,l3,1727
i39,e09,c5,p01,l3,1736
i38,e06,c4,p17,l3,1734
i14,e09,c5,p14,l3,1777
i01,e08,c1,p21,l3,1735
i06,e12,c3,p18,l3,3439
i63,e08,c4,p10,l3,1730
i21,e09,c1,p25,l3,1726
i34,e03,c5,p28,l3,1730
i39,e01,c5,p25,l3,1722
i38,e01,c4,p19,l3,1721
i38,e09,c1,p25,l2,13
i14,e11,c5,p19,l3,1726
i22,e02,c5,p06,l3,1720
i01,e08,c1,p03,l3,1744
i27,e01,c5,p24,l3,1721
i46,e01,c1,p23,l3,1722
i14,e08,c5,p17,l3,1726
i39,e04,c5,p11,l3,1733
i76,e09,c5,p35,l3,1725
i01,e01,c1,p29,l3,1725
i05,e12,c1,p28,l3,1724
i14,e09,c5,p30,l3,1723
i05,e05,c1,p06,l3,1720
i14,e05,c5,p19,l3,1721
i43,e01,c1,p18,l3,3439
i46,e01,c1,p15,l3,1723
i16,e01,c5,p06,l3,1720
i33,e09,c1,p10,l3,1720
i01,e08,c1,p32,l3,1722
i14,e01,c5,p29,l3,1721
i38,e11,c7,p13,l2,3439
i38,e11,c4,p05,l2,1721
i46,e01,c1,p11,l3,1721
i12,e09,c5,p13,l3,1720
i01,e04,c1,p12,l3,1721
i04,e01,c3,p10,l3,1720
i14,e08,c3,p16,l3,1720
i38,e10,c1,p02,l2,76
i06,e08,c5,p29,l2,1504
i06,e10,c5,p33,l4,1747
i38,e10,c1,p35,l3,2822
i38,e06,c4,p32,l3,1733
i41,e08,c1,p35,l3,1740
i38,e01,c1,p12,l3,1772
i19,e10,c5,p35,l4,1764
i03,e10,c5,p10,l3,1750
i06,e11,c5,p09,l2,1822
i38,e08,c1,p19,l2,1136
i05,e12,c1,p35,l3,1828
i24,e06,c1,p35,l3,1777
i17,e08,c5,p35,l3,1727
i38,e10,c4,p12,l4,1797
i18,e12,c1,p35,l3,1721
i12,e08,c5,p29,l3,1720
i34,e03,c5,p22,l3,1758
i05,e06,c1,p15,l3,1725
i38,e01,c1,p22,l3,1729
i19,e10,c5,p35,l2,14
i38,e10,c4,p32,l1,1
i05,e07,c1,p07,l3,1724
i34,e04,c5,p10,l3,1794
i38,e11,c1,p30,l2,1723
i13,e08,c5,p14,l3,1730
i17,e04,c5,p23,l3,1739
i14,e08,c5,p21,l3,1839
i06,e09,c5,p07,l2,61
i38,e10,c1,unknown,l4,1724
i05,e07,c4,p15,l3,1722
i27,e09,c5,p05,l3,1728
i02,e09,c1,p02,l3,1734
i38,e06,c1,p20,l3,1734
i14,e04,c5,p29,l3,1725
i14,e08,c5,p05,l3,1730
i38,e11,c1,p26,l2,1725
i05,e12,c1,p24,l3,1725
i38,e10,c4,p12,l2,5
i05,e01,c1,p10,l3,1736
i05,e04,c1,p07,l3,1727
i46,e04,c1,p15,l3,1748
i38,e10,c4,p16,l2,2
i06,e09,c5,p26,l2,3
i48,e11,c1,p28,l3,1722
i38,e09,c1,p28,l2,10
i34,e09,c5,p08,l3,1721
i33,e10,c1,p10,l3,1720
i38,e10,c4,p05,l2,2
i66,e04,c3,p19,l3,1720
i06,e01,c3,p03,l3,1720
i23,e09,c5,p12,l3,1720
i39,e04,c5,p08,l3,1731
i38,e12,c1,p11,l3,1728
i14,e08,c3,p07,l3,1720
i06,e07,c5,p06,l2,5
i07,e01,c5,p10,l3,1720
i30,e09,c1,p12,l3,1721
i46,e08,c1,p22,l3,1726
i07,e12,c5,p25,l3,1720
i38,e04,c4,p32,l1,1
i02,e09,c1,p28,l3,1724
i67,e09,c5,p02,l3,1722
i24,e08,c1,p35,l3,1721
i17,e11,c5,p31,l3,1721
i16,e04,c5,p05,l3,1720
i05,e07,c1,p29,l3,1720
i38,e11,c4,p24,l2,1720
i34,e04,c5,p25,l3,1720
i07,e12,c5,p08,l3,1721
i03,e10,c5,p24,l3,1721
i38,e10,c4,p18,l2,1720
i05,e09,c1,p07,l3,1720
i06,e10,c5,p06,l4,3296
i28,e08,c4,p35,l3,3620
i06,e10,c5,p11,l4,4553
i06,e10,c5,p32,l3,8662
i06,e10,c5,p24,l4,3437
i38,e10,c1,p18,l4,4445
i06,e10,c5,p09,l4,2938
i06,e08,c5,p19,l2,6379
i02,e09,c1,p07,l3,1816
i06,e10,c3,p19,l4,1745
i06,e08,c5,p14,l2,1673
i38,e10,c1,p20,l4,1938
i02,e04,c1,p04,l3,1811
i38,e11,c4,p17,l2,1721
i02,e09,c1,p25,l3,1735
i07,e08,c5,p35,l3,1826
i06,e09,c5,p22,l2,39
i02,e01,c1,p14,l3,1829
i30,e09,c1,p19,l3,1738
i14,e11,c5,p12,l3,1720
i02,e04,c1,p02,l3,1747
i17,e11,c5,p04,l3,1744
i06,e10,c3,p03,l3,1805
i06,e10,c5,p22,l1,33
i06,e10,c3,p09,l3,1738
i38,e10,c1,p29,l1,4
i16,e04,c5,p17,l3,1725
i14,e04,c5,p12,l3,1728
i14,e09,c5,p19,l3,1766
i12,e08,c5,p16,l3,1729
i17,e04,c5,p18,l3,3484
i67,e08,c5,p10,l3,1743
i16,e08,c5,p12,l3,1745
i17,e09,c5,p35,l3,1726
i07,e11,c5,p19,l3,1720
i12,e01,c5,p16,l3,1724
i07,e12,c5,p18,l3,3440
i49,e06,c1,p33,l3,1722
i05,e01,c1,p21,l3,1735
i41,e01,c1,p01,l3,1730
i14,e12,c5,p35,l3,1722
i07,e07,c5,p35,l3,1721
i38,e10,c1,unknown,l3,1721
i38,e04,c1,p12,l1,23
i42,e02,c5,p35,l3,1720
i41,e07,c1,p21,l3,1730
i39,e04,c5,p17,l3,1739
i12,e04,c5,p15,l3,1730
i25,e10,c5,p21,l4,1728
i28,e04,c1,p35,l3,1727
i38,e01,c7,p10,l3,3444
i66,e01,c3,p10,l3,1720
i02,e04,c1,p32,l3,1720
i14,e01,c5,p06,l3,1722
i38,e09,c1,unknown,l2,1
i16,e04,c5,p04,l3,1720
i30,e04,c1,p03,l3,1721
i07,e12,c5,p21,l3,1720
i61,e01,c1,p35,l3,1720
i05,e06,c1,unknown,l3,1720
i24,e08,c1,p24,l3,1720
i03,e09,c5,p29,l3,1720
i06,e02,c5,p25,l1,1
i41,e04,c1,p19,l3,1721
i23,e08,c5,p24,l3,1722
i05,e06,c1,p29,l3,1721
i15,e04,c2,p35,l3,4347
i06,e11,c5,p04,l2,1897
i38,e10,c1,p24,l3,9179
i06,e10,c5,p29,l3,24344
i06,e10,c5,p05,l1,112
i38,e06,c1,p19,l3,2706
i38,e11,c1,p01,l2,2098
i63,e10,c1,p10,l3,1951
i38,e06,c1,p13,l3,2486
i02,e09,c1,p10,l3,2080
i02,e01,c1,p07,l3,1848
i38,e11,c1,p03,l2,2104
i02,e08,c1,p01,l3,2378
i06,e04,c5,p17,l1,142
i38,e10,c1,p07,l2,206
i30,e09,c1,p21,l3,1734
i38,e01,c1,p31,l3,1732
i06,e11,c5,p22,l2,1811
i02,e04,c1,p09,l3,1779
i06,e08,c5,p23,l2,1426
i38,e10,c4,p01,l3,1808
i06,e04,c5,p01,l1,246
i34,e03,c5,p11,l3,1846
i63,e08,c1,p10,l3,1911
i38,e10,c7,p13,l3,3459
i16,e08,c5,p21,l3,1733
i17,e04,c5,p04,l3,1762
i41,e09,c1,p35,l3,1728
i38,e10,c4,p13,l4,1735
i03,e04,c5,p05,l3,1726
i06,e01,c5,p26,l3,1724
i34,e04,c5,p08,l3,1736
i38,e09,c1,unknown,l2,6
i21,e03,c1,p10,l3,1736
i06,e10,c5,p25,l1,25
i27,e04,c5,p05,l3,1727
i27,e04,c5,p22,l3,1720
i46,e08,c1,p10,l3,1750
i30,e04,c1,p08,l3,1731
i43,e04,c1,p10,l3,1746
i41,e08,c1,p03,l3,1731
i38,e10,c1,p14,l1,13
i05,e09,c1,p08,l3,1727
i05,e12,c1,p08,l3,1721
i67,e01,c5,p05,l3,1720
i67,e01,c5,p01,l3,1722
i05,e04,c1,p19,l3,1727
i42,e02,c5,p10,l3,1720
i05,e06,c1,p01,l3,1722
i13,e03,c5,p10,l3,1721
i16,e01,c5,p11,l3,1723
i30,e01,c1,p15,l3,1726
i74,e08,c5,p21,l3,1749
i41,e05,c1,p19,l3,1721
i05,e12,c1,p02,l3,1720
i23,e01,c5,p06,l3,1720
i38,e10,c7,p14,l2,1723
i14,e09,c5,p15,l3,1721
i06,e12,c5,p26,l3,1721
i21,e09,c1,p07,l3,1720
i17,e01,c5,p20,l3,1722
i41,e04,c1,p05,l3,1721
i05,e12,c7,p35,l3,3439
i33,e01,c1,p19,l3,1720
i16,e09,c5,p01,l3,1720
i16,e09,c5,p25,l3,1720
i05,e08,c1,p02,l3,1722
i46,e08,c1,p29,l3,1720
i30,e04,c1,p04,l3,1721
i46,e09,c1,p22,l3,1720
i38,e11,c4,p20,l2,1720
i05,e07,c1,p13,l3,1721
i38,e10,c1,p09,l4,2507
i38,e10,c4,p03,l4,1776
i38,e10,c1,p11,l4,4792
i06,e10,c5,p23,l4,2717
i06,e10,c5,p26,l3,4223
i06,e08,c5,p22,l2,1365
i02,e04,c1,p19,l3,2475
i06,e09,c5,p04,l2,76
i49,e10,c1,p33,l3,1833
i41,e07,c1,p13,l3,1723
i17,e11,c5,p11,l3,1800
i02,e08,c1,p12,l3,1898
i02,e08,c1,p23,l3,1798
i06,e08,c5,p33,l2,50
i38,e09,c1,p21,l2,55
i38,e12,c1,p10,l3,1855
i17,e04,c5,p25,l3,1731
i06,e10,c5,p05,l2,95
i06,e10,c3,p29,l4,1725
i09,e04,c5,p04,l3,1721
i17,e04,c5,p35,l3,1736
i21,e09,c1,p10,l3,1725
i07,e12,c5,p10,l3,1744
i17,e08,c5,p14,l3,1738
i14,e08,c3,p15,l3,1728
i38,e01,c1,unknown,l3,1726
i38,e09,c1,p23,l2,5
i34,e08,c5,p18,l3,3449
i13,e08,c5,p23,l3,1721
i05,e06,c1,p04,l3,1722
i39,e01,c5,p05,l3,1747
i23,e09,c5,p05,l3,1721
i13,e04,c5,p35,l3,1722
i38,e08,c1,p02,l2,54
i42,e05,c5,p07,l3,1722
i16,e04,c5,p01,l3,1729
i52,e04,c3,p10,l3,1725
i06,e08,c3,p10,l2,4
i13,e12,c5,p12,l3,1720
i16,e01,c5,p28,l3,1722
i48,e09,c1,p01,l3,1722
i38,e01,c1,p32,l3,1726
i06,e05,c5,p06,l1,1
i10,e05,c3,p22,l3,1720
i43,e01,c1,p19,l3,1724
i27,e10,c5,p10,l3,1721
i43,e09,c1,p08,l3,1724
i16,e09,c5,p14,l3,1724
i43,e01,c1,p31,l3,1724
i02,e07,c1,p09,l3,1720
i14,e11,c5,p14,l3,1720
i05,e01,c1,p07,l3,1723
i23,e01,c5,p21,l3,1720
i14,e01,c5,p31,l3,1721
i29,e04,c5,p17,l3,1720
i02,e11,c1,p22,l3,1720
i05,e07,c1,p16,l3,1721
i34,e08,c5,p31,l3,1720
i38,e10,c1,p02,l3,10529
i38,e10,c1,p35,l4,2088
i06,e10,c5,p02,l4,2761
i06,e10,c5,p25,l4,2360
i02,e08,c1,p21,l3,2164
i38,e10,c1,p01,l2,91
i26,e11,c1,p35,l3,1733
i38,e01,c1,p11,l3,1791
i05,e11,c1,p35,l3,1723
i38,e10,c7,p10,l4,3506
i38,e04,c1,p10,l1,456
i34,e03,c5,p19,l3,2008
i38,e10,c4,p07,l4,1747
i38,e06,c1,p15,l3,2132
i06,e10,c5,p11,l2,55
i38,e10,c4,p13,l3,1900
i06,e05,c5,p12,l1,8
i06,e01,c5,p22,l3,1774
i17,e11,c5,p22,l3,1727
i34,e01,c5,p06,l3,1723
i01,e04,c1,p24,l3,1725
i06,e09,c5,p29,l2,56
i38,e01,c1,p07,l3,1768
i34,e01,c5,p17,l3,1727
i38,e11,c1,p18,l2,3541
i06,e01,c5,p21,l3,1837
i39,e04,c5,p21,l3,1749
i06,e01,c5,p15,l3,1899
i16,e08,c5,p10,l3,1779
i17,e11,c5,p18,l3,3497
i43,e04,c1,p01,l3,1734
i38,e07,c1,p19,l2,19
i41,e01,c1,p25,l3,1723
i12,e08,c5,p15,l3,1728
i06,e10,c3,p10,l4,1742
i39,e09,c5,p24,l3,1723
i13,e08,c5,p01,l3,1732
i33,e08,c1,p02,l3,1720
i06,e01,c5,p02,l3,1749
i32,e11,c5,p28,l3,1739
i03,e10,c5,p04,l3,1725
i38,e10,c1,p16,l2,10
i38,e10,c4,p04,l3,1737
i23,e09,c5,p35,l3,1722
i06,e10,c5,p20,l2,12
i23,e03,c5,p16,l3,1723
i05,e01,c1,p03,l3,1726
i01,e08,c1,p05,l3,1733
i13,e08,c5,p16,l3,1728
i27,e04,c5,p17,l3,1720
i38,e06,c4,p02,l3,1732
i38,e04,c4,p17,l1,1
i46,e08,c4,p21,l3,1720
i07,e09,c5,p11,l3,1721
i43,e08,c1,p01,l3,1721
i01,e11,c1,p10,l3,1725
i38,e10,c1,unknown,l3,1726
i136,e05,c1,p15,l3,1720
i43,e01,c1,p12,l3,1721
i43,e01,c1,p01,l3,1725
i80,e09,c3,p35,l3,1721
i01,e08,c1,p07,l3,1720
i27,e01,c5,p16,l3,1720
i05,e06,c1,p02,l3,1720
i12,e09,c5,p21,l3,1721
i13,e08,c3,p03,l3,1721
